company,financial_year,ytd_upto_month,segment,premium_ytd
SBI General Insurance Co Ltd,FY25,APR,motor_total,387.74
SBI General Insurance Co Ltd,FY24,APR,motor_total,315.57
Shriram General Insurance Co Ltd,FY25,APR,motor_total,258.62
Shriram General Insurance Co Ltd,FY24,APR,motor_total,195.61
Tata AIG General Insurance Co Ltd,FY25,APR,motor_total,685.3
Tata AIG General Insurance Co Ltd,FY24,APR,motor_total,574.38
The New India Assurance Co Ltd,FY25,APR,motor_total,827.82
The New India Assurance Co Ltd,FY24,APR,motor_total,691.4
The Oriental Insurance Co Ltd,FY25,APR,motor_total,381.65
The Oriental Insurance Co Ltd,FY24,APR,motor_total,328.37
United India Insurance Co Ltd,FY25,APR,motor_total,772.76
United India Insurance Co Ltd,FY24,APR,motor_total,562.74
Universal Sompo General Insurance Co Ltd,FY25,APR,motor_total,168.43
Universal Sompo General Insurance Co Ltd,FY24,APR,motor_total,152.48
Zuno General Insurance Co Ltd,FY25,APR,motor_total,42.07
Zuno General Insurance Co Ltd,FY24,APR,motor_total,36.8
Acko General Insurance Ltd,FY25,APR,health,89.99
Acko General Insurance Ltd,FY24,APR,health,95.36
Bajaj Allianz General Insurance Co Ltd,FY25,APR,health,645.91
Bajaj Allianz General Insurance Co Ltd,FY24,APR,health,715.7
Cholamandalam MS General Insurance Co Ltd,FY25,APR,health,122.64
Cholamandalam MS General Insurance Co Ltd,FY24,APR,health,138.31
Future Generali India Insurance Co Ltd,FY25,APR,health,263.49
Future Generali India Insurance Co Ltd,FY24,APR,health,321.83
Go Digit General Insurance Ltd,FY25,APR,health,184.75
Go Digit General Insurance Ltd,FY24,APR,health,233.63
HDFC Ergo General Insurance Co Ltd,FY25,APR,health,612.1
HDFC Ergo General Insurance Co Ltd,FY24,APR,health,552.22
ICICI Lombard General Insurance Co Ltd,FY25,APR,health,1179.08
ICICI Lombard General Insurance Co Ltd,FY24,APR,health,1109.57
IFFCO-Tokio General Insurance Co Ltd,FY25,APR,health,65.02
IFFCO-Tokio General Insurance Co Ltd,FY24,APR,health,62.13
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,APR,health,130.8
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,APR,health,46.94
Liberty  General Insurance Co. Ltd,FY25,APR,health,74.69
Liberty  General Insurance Co. Ltd,FY24,APR,health,34.05
Magma General Insurance Limited,FY25,APR,health,118.17
Magma General Insurance Limited,FY24,APR,health,110.12
National Insurance Co Ltd,FY25,APR,health,620.73
National Insurance Co Ltd,FY24,APR,health,555.28
Navi General Insurance Co. Ltd,FY25,APR,health,22.59
Navi General Insurance Co. Ltd,FY24,APR,health,3.97
Raheja QBE General Insurance Co Ltd,FY25,APR,health,0.32
Raheja QBE General Insurance Co Ltd,FY24,APR,health,0.91
Reliance General Insurance Co Ltd,FY25,APR,health,391.6
Reliance General Insurance Co Ltd,FY24,APR,health,372.2
Royal Sundaram General Insurance Co Ltd,FY25,APR,health,221.41
Royal Sundaram General Insurance Co Ltd,FY24,APR,health,131.41
SBI General Insurance Co Ltd,FY25,APR,health,444.95
SBI General Insurance Co Ltd,FY24,APR,health,227.15
Shriram General Insurance Co Ltd,FY25,APR,health,0.54
Shriram General Insurance Co Ltd,FY24,APR,health,0.18
Tata AIG General Insurance Co Ltd,FY25,APR,health,418.0
Tata AIG General Insurance Co Ltd,FY24,APR,health,231.9
The New India Assurance Co Ltd,FY25,APR,health,3411.7
The New India Assurance Co Ltd,FY24,APR,health,3216.88
The Oriental Insurance Co Ltd,FY25,APR,health,1020.35
The Oriental Insurance Co Ltd,FY24,APR,health,630.57
United India Insurance Co Ltd,FY25,APR,health,837.94
United India Insurance Co Ltd,FY24,APR,health,1060.53
Universal Sompo General Insurance Co Ltd,FY25,APR,health,137.63
Universal Sompo General Insurance Co Ltd,FY24,APR,health,61.62
Zuno General Insurance Co Ltd,FY25,APR,health,26.18
Zuno General Insurance Co Ltd,FY24,APR,health,35.83
 Niva bupa health insurance company limited,FY25,APR,health,475.51
 Niva bupa health insurance company limited,FY24,APR,health,434.7
Aditya Birla Health Insurance Co Ltd,FY25,APR,health,430.13
Aditya Birla Health Insurance Co Ltd,FY24,APR,health,339.91
Care Health Insurance Ltd,FY25,APR,health,710.6
Care Health Insurance Ltd,FY24,APR,health,651.73
Galaxy Health Insurance Company Ltd,FY25,APR,health,3.06
ManipalCigna Health Insurance Co Ltd,FY25,APR,health,180.61
ManipalCigna Health Insurance Co Ltd,FY24,APR,health,158.67
Narayana Health Insurance Ltd,FY25,APR,health,0.4
Star Health & Allied Insurance Co Ltd,FY25,APR,health,1050.53
Star Health & Allied Insurance Co Ltd,FY24,APR,health,1003.01
Bajaj Allianz General Insurance Co Ltd,FY25,APR,aviation,2.93
Bajaj Allianz General Insurance Co Ltd,FY24,APR,aviation,2.1
Go Digit General Insurance Ltd,FY25,APR,aviation,0.28
HDFC Ergo General Insurance Co Ltd,FY25,APR,aviation,1.63
HDFC Ergo General Insurance Co Ltd,FY24,APR,aviation,0.88
ICICI Lombard General Insurance Co Ltd,FY25,APR,aviation,19.62
ICICI Lombard General Insurance Co Ltd,FY24,APR,aviation,26.31
National Insurance Co Ltd,FY25,APR,aviation,5.64
National Insurance Co Ltd,FY24,APR,aviation,6.91
Reliance General Insurance Co Ltd,FY24,APR,aviation,11.35
SBI General Insurance Co Ltd,FY25,APR,aviation,0.04
Tata AIG General Insurance Co Ltd,FY25,APR,aviation,24.64
Tata AIG General Insurance Co Ltd,FY24,APR,aviation,24.67
The New India Assurance Co Ltd,FY25,APR,aviation,54.4
The New India Assurance Co Ltd,FY24,APR,aviation,27.74
The Oriental Insurance Co Ltd,FY24,APR,aviation,6.43
United India Insurance Co Ltd,FY25,APR,aviation,2.2
United India Insurance Co Ltd,FY24,APR,aviation,1.73
Acko General Insurance Ltd,FY25,APR,liability,2.36
Acko General Insurance Ltd,FY24,APR,liability,5.48
Bajaj Allianz General Insurance Co Ltd,FY25,APR,liability,164.02
Bajaj Allianz General Insurance Co Ltd,FY24,APR,liability,121.6
Cholamandalam MS General Insurance Co Ltd,FY25,APR,liability,3.85
Cholamandalam MS General Insurance Co Ltd,FY24,APR,liability,3.86
Future Generali India Insurance Co Ltd,FY25,APR,liability,9.28
Future Generali India Insurance Co Ltd,FY24,APR,liability,6.3
Go Digit General Insurance Ltd,FY25,APR,liability,27.22
Go Digit General Insurance Ltd,FY24,APR,liability,16.9
HDFC Ergo General Insurance Co Ltd,FY25,APR,liability,131.39
HDFC Ergo General Insurance Co Ltd,FY24,APR,liability,145.37
ICICI Lombard General Insurance Co Ltd,FY25,APR,liability,165.02
ICICI Lombard General Insurance Co Ltd,FY24,APR,liability,161.72
IFFCO-Tokio General Insurance Co Ltd,FY25,APR,liability,25.8
IFFCO-Tokio General Insurance Co Ltd,FY24,APR,liability,27.68
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,APR,liability,0.37
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,APR,liability,0.14
Liberty  General Insurance Co. Ltd,FY25,APR,liability,6.25
Liberty  General Insurance Co. Ltd,FY24,APR,liability,1.07
Magma General Insurance Limited,FY25,APR,liability,9.96
Magma General Insurance Limited,FY24,APR,liability,8.75
National Insurance Co Ltd,FY25,APR,liability,23.08
National Insurance Co Ltd,FY24,APR,liability,29.18
Raheja QBE General Insurance Co Ltd,FY25,APR,liability,11.47
Raheja QBE General Insurance Co Ltd,FY24,APR,liability,5.18
Reliance General Insurance Co Ltd,FY25,APR,liability,24.94
Reliance General Insurance Co Ltd,FY24,APR,liability,16.12
Royal Sundaram General Insurance Co Ltd,FY25,APR,liability,2.23
Royal Sundaram General Insurance Co Ltd,FY24,APR,liability,1.63
SBI General Insurance Co Ltd,FY25,APR,liability,14.98
SBI General Insurance Co Ltd,FY24,APR,liability,8.32
Shriram General Insurance Co Ltd,FY25,APR,liability,1.02
Shriram General Insurance Co Ltd,FY24,APR,liability,0.86
Tata AIG General Insurance Co Ltd,FY25,APR,liability,204.83
Tata AIG General Insurance Co Ltd,FY24,APR,liability,190.11
The New India Assurance Co Ltd,FY25,APR,liability,48.65
The New India Assurance Co Ltd,FY24,APR,liability,35.04
The Oriental Insurance Co Ltd,FY25,APR,liability,12.81
The Oriental Insurance Co Ltd,FY24,APR,liability,13.99
United India Insurance Co Ltd,FY25,APR,liability,20.1
United India Insurance Co Ltd,FY24,APR,liability,19.61
Universal Sompo General Insurance Co Ltd,FY25,APR,liability,7.17
Universal Sompo General Insurance Co Ltd,FY24,APR,liability,3.03
Zuno General Insurance Co Ltd,FY24,APR,liability,0.01
Acko General Insurance Ltd,FY25,APR,personal_accident,1.48
Acko General Insurance Ltd,FY24,APR,personal_accident,1.17
Bajaj Allianz General Insurance Co Ltd,FY25,APR,personal_accident,21.07
Bajaj Allianz General Insurance Co Ltd,FY24,APR,personal_accident,26.59
Cholamandalam MS General Insurance Co Ltd,FY25,APR,personal_accident,14.94
Cholamandalam MS General Insurance Co Ltd,FY24,APR,personal_accident,32.43
Future Generali India Insurance Co Ltd,FY25,APR,personal_accident,6.6
Future Generali India Insurance Co Ltd,FY24,APR,personal_accident,12.13
Go Digit General Insurance Ltd,FY25,APR,personal_accident,10.84
Go Digit General Insurance Ltd,FY24,APR,personal_accident,20.09
HDFC Ergo General Insurance Co Ltd,FY25,APR,personal_accident,27.43
HDFC Ergo General Insurance Co Ltd,FY24,APR,personal_accident,43.57
ICICI Lombard General Insurance Co Ltd,FY25,APR,personal_accident,60.91
ICICI Lombard General Insurance Co Ltd,FY24,APR,personal_accident,75.91
IFFCO-Tokio General Insurance Co Ltd,FY25,APR,personal_accident,11.41
IFFCO-Tokio General Insurance Co Ltd,FY24,APR,personal_accident,13.29
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,APR,personal_accident,5.68
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,APR,personal_accident,4.79
Liberty  General Insurance Co. Ltd,FY25,APR,personal_accident,2.63
Liberty  General Insurance Co. Ltd,FY24,APR,personal_accident,2.31
Magma General Insurance Limited,FY25,APR,personal_accident,12.3
Magma General Insurance Limited,FY24,APR,personal_accident,4.18
National Insurance Co Ltd,FY25,APR,personal_accident,15.58
National Insurance Co Ltd,FY24,APR,personal_accident,17.73
Navi General Insurance Co. Ltd,FY25,APR,personal_accident,0.03
Raheja QBE General Insurance Co Ltd,FY25,APR,personal_accident,0.15
Raheja QBE General Insurance Co Ltd,FY24,APR,personal_accident,0.05
Reliance General Insurance Co Ltd,FY25,APR,personal_accident,41.54
Reliance General Insurance Co Ltd,FY24,APR,personal_accident,31.57
Royal Sundaram General Insurance Co Ltd,FY25,APR,personal_accident,7.64
Royal Sundaram General Insurance Co Ltd,FY24,APR,personal_accident,8.47
SBI General Insurance Co Ltd,FY25,APR,personal_accident,76.11
SBI General Insurance Co Ltd,FY24,APR,personal_accident,52.21
Shriram General Insurance Co Ltd,FY25,APR,personal_accident,10.14
Shriram General Insurance Co Ltd,FY24,APR,personal_accident,8.47
Tata AIG General Insurance Co Ltd,FY25,APR,personal_accident,15.33
Tata AIG General Insurance Co Ltd,FY24,APR,personal_accident,13.64
The New India Assurance Co Ltd,FY25,APR,personal_accident,65.39
The New India Assurance Co Ltd,FY24,APR,personal_accident,49.02
The Oriental Insurance Co Ltd,FY25,APR,personal_accident,720.35
The Oriental Insurance Co Ltd,FY24,APR,personal_accident,303.37
United India Insurance Co Ltd,FY25,APR,personal_accident,48.95
United India Insurance Co Ltd,FY24,APR,personal_accident,37.3
Universal Sompo General Insurance Co Ltd,FY25,APR,personal_accident,29.29
Universal Sompo General Insurance Co Ltd,FY24,APR,personal_accident,30.14
Zuno General Insurance Co Ltd,FY25,APR,personal_accident,1.71
Zuno General Insurance Co Ltd,FY24,APR,personal_accident,3.56
 Niva bupa health insurance company limited,FY25,APR,personal_accident,7.56
 Niva bupa health insurance company limited,FY24,APR,personal_accident,9.5
Aditya Birla Health Insurance Co Ltd,FY25,APR,personal_accident,8.24
Aditya Birla Health Insurance Co Ltd,FY24,APR,personal_accident,17.69
Care Health Insurance Ltd,FY25,APR,personal_accident,15.59
Care Health Insurance Ltd,FY24,APR,personal_accident,14.64
Galaxy Health Insurance Company Ltd,FY25,APR,personal_accident,0.32
ManipalCigna Health Insurance Co Ltd,FY25,APR,personal_accident,3.17
ManipalCigna Health Insurance Co Ltd,FY24,APR,personal_accident,2.55
Star Health & Allied Insurance Co Ltd,FY25,APR,personal_accident,9.61
Star Health & Allied Insurance Co Ltd,FY24,APR,personal_accident,10.13
Acko General Insurance Ltd,FY25,APR,misc,6.72
Acko General Insurance Ltd,FY24,APR,misc,4.66
Bajaj Allianz General Insurance Co Ltd,FY25,APR,misc,123.5
Bajaj Allianz General Insurance Co Ltd,FY24,APR,misc,174.18
Cholamandalam MS General Insurance Co Ltd,FY25,APR,misc,3.44
Cholamandalam MS General Insurance Co Ltd,FY24,APR,misc,15.65
Future Generali India Insurance Co Ltd,FY25,APR,misc,22.2
Future Generali India Insurance Co Ltd,FY24,APR,misc,34.83
Go Digit General Insurance Ltd,FY25,APR,misc,31.63
Go Digit General Insurance Ltd,FY24,APR,misc,52.06
HDFC Ergo General Insurance Co Ltd,FY25,APR,misc,42.55
HDFC Ergo General Insurance Co Ltd,FY24,APR,misc,83.27
ICICI Lombard General Insurance Co Ltd,FY25,APR,misc,83.47
ICICI Lombard General Insurance Co Ltd,FY24,APR,misc,84.84
IFFCO-Tokio General Insurance Co Ltd,FY25,APR,misc,65.68
IFFCO-Tokio General Insurance Co Ltd,FY24,APR,misc,55.87
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,APR,misc,2.8
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,APR,misc,3.85
Kshema General insurance,FY25,APR,misc,306.48
Kshema General insurance,FY24,APR,misc,0.27
Liberty  General Insurance Co. Ltd,FY25,APR,misc,9.77
Liberty  General Insurance Co. Ltd,FY24,APR,misc,6.99
Magma General Insurance Limited,FY25,APR,misc,1.69
Magma General Insurance Limited,FY24,APR,misc,1.25
National Insurance Co Ltd,FY25,APR,misc,74.47
National Insurance Co Ltd,FY24,APR,misc,126.65
Raheja QBE General Insurance Co Ltd,FY25,APR,misc,0.02
Reliance General Insurance Co Ltd,FY25,APR,misc,36.04
Reliance General Insurance Co Ltd,FY24,APR,misc,31.0
Royal Sundaram General Insurance Co Ltd,FY25,APR,misc,3.32
Royal Sundaram General Insurance Co Ltd,FY24,APR,misc,3.16
SBI General Insurance Co Ltd,FY25,APR,misc,13.28
SBI General Insurance Co Ltd,FY24,APR,misc,26.3
Shriram General Insurance Co Ltd,FY25,APR,misc,3.59
Shriram General Insurance Co Ltd,FY24,APR,misc,1.25
Tata AIG General Insurance Co Ltd,FY25,APR,misc,120.77
Tata AIG General Insurance Co Ltd,FY24,APR,misc,41.63
The New India Assurance Co Ltd,FY25,APR,misc,316.15
The New India Assurance Co Ltd,FY24,APR,misc,259.48
The Oriental Insurance Co Ltd,FY25,APR,misc,45.47
United India Insurance Co Ltd,FY25,APR,misc,76.02
United India Insurance Co Ltd,FY24,APR,misc,57.05
Universal Sompo General Insurance Co Ltd,FY25,APR,misc,5.83
Universal Sompo General Insurance Co Ltd,FY24,APR,misc,81.49
Zuno General Insurance Co Ltd,FY25,APR,misc,2.13
Zuno General Insurance Co Ltd,FY24,APR,misc,0.06
Star Health & Allied Insurance Co Ltd,FY24,APR,misc,0.04
Agriculture Insurance Co Of India Ltd,FY25,APR,misc,5.78
Agriculture Insurance Co Of India Ltd,FY24,APR,misc,31.04
ECGC Ltd,FY25,APR,misc,87.66
ECGC Ltd,FY24,APR,misc,86.14
Bajaj Allianz General Insurance Co Ltd,FY25,MAY,fire,1008.91
Bajaj Allianz General Insurance Co Ltd,FY24,MAY,fire,883.03
Cholamandalam MS General Insurance Co Ltd,FY25,MAY,fire,179.84
Cholamandalam MS General Insurance Co Ltd,FY24,MAY,fire,195.43
Future Generali India Insurance Co Ltd,FY25,MAY,fire,235.39
Future Generali India Insurance Co Ltd,FY24,MAY,fire,180.06
Go Digit General Insurance Ltd,FY25,MAY,fire,291.4
Go Digit General Insurance Ltd,FY24,MAY,fire,190.51
HDFC Ergo General Insurance Co Ltd,FY25,MAY,fire,665.55
HDFC Ergo General Insurance Co Ltd,FY24,MAY,fire,652.76
ICICI Lombard General Insurance Co Ltd,FY25,MAY,fire,1191.83
ICICI Lombard General Insurance Co Ltd,FY24,MAY,fire,1071.88
IFFCO-Tokio General Insurance Co Ltd,FY25,MAY,fire,331.01
IFFCO-Tokio General Insurance Co Ltd,FY24,MAY,fire,267.86
Zurich Kotak Mahindra General Insurance Co Ltd,FY25,MAY,fire,29.45
Zurich Kotak Mahindra General Insurance Co Ltd,FY24,MAY,fire,21.38
Liberty  General Insurance Co. Ltd,FY25,MAY,fire,18.71
Liberty  General Insurance Co. Ltd,FY24,MAY,fire,17.35
Magma General Insurance Limited,FY25,MAY,fire,81.52
Magma General Insurance Limited,FY24,MAY,fire,68.89
National Insurance Co Ltd,FY25,MAY,fire,422.74
National Insurance Co Ltd,FY24,MAY,fire,317.79
Raheja QBE General Insurance Co Ltd,FY25,MAY,fire,3.38
Raheja QBE General Insurance Co Ltd,FY24,MAY,fire,3.16
